campaign_id,report_date,platform,impressions,clicks,spend,conversions
meta_camp_001,2025-05-25,meta,42000,1280,148.50,38
meta_camp_001,2025-05-26,meta,43500,1310,149.20,40
meta_camp_001,2025-05-27,meta,41000,1250,147.80,36
meta_camp_001,2025-05-28,meta,44200,1350,149.90,41
meta_camp_001,2025-05-29,meta,40500,1220,146.50,35
meta_camp_001,2025-05-30,meta,45000,1380,150.00,43
meta_camp_001,2025-05-31,meta,42800,1295,148.90,39
goog_camp_001,2025-05-25,google,32000,4800,118.20,94
goog_camp_001,2025-05-26,google,33500,5020,119.50,100
goog_camp_001,2025-05-27,google,31500,4700,117.80,90
goog_camp_001,2025-05-28,google,34000,5100,120.00,103
goog_camp_001,2025-05-29,google,31000,4650,117.00,88
goog_camp_001,2025-05-30,google,34500,5150,119.80,105
goog_camp_001,2025-05-31,google,32500,4850,118.50,96
